assignmentid,rating_mean,color_mean,control_score,control_score_mturk,workerid,decision1,decision2,executed1,executed2,mistakes,n_mistakes
3NGMS9VZTLIFU13GRZSPOI72TW1FFW,0.7916666666666666,4.4444444444444455,0.9375,0.7142857142857143,A2GFU1QB3HGIX7,approve,,True,False,['http://object-naming-amore.upf.edu//2365614_2535477_supercat_ambiguous.png - ground: 1.0'],1
3PB5A5BD0V68T8K5K00VIBUXVG3G7Y,0.7297297297297297,0.13513513513513514,1.0,0.7777777777777778,A3AB00JQ0B608A,approve,bonus,True,True,[],0
3PB5A5BD0V68T8K5K00VIBUXWMG7GF,0.5555555555555556,2.2222222222222223,0.9375,0.7142857142857143,A2BRZKFG6WAVER,approve,,True,False,['http://object-naming-amore.upf.edu//2368596_617107_supercat_unique.png - cat: visual'],1
3PZDLQMM0TLOQV7UC2NHWTSANAJC23,0.6486486486486487,1.945945945945946,0.7857142857142857,0.6111111111111112,A2TR2EBULKKPB4,approve,,True,False,"[""http://object-naming-amore.upf.edu//2398907_2901496_singleton_obj.png - playdr: ['playdr']"", ""http://object-naming-amore.upf.edu//2397028_1193404_supercat_ambiguous.png - piza: ['piza']"", ""http://object-naming-amore.upf.edu//2390562_3827922_singleton_obj.png - airplnae: ['airplnae']""]",3
3QUO65DNQUOYJWDZLR6EXCHJVEJOUQ,0.7702702702702703,0.7027027027027027,0.7692307692307693,0.625,A3BJ22BY7EX78N,approve,,True,False,"['http://object-naming-amore.upf.edu//2365794_2346707_singleton_obj.png - apia: visual', 'http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png - bangkok: visual', ""http://object-naming-amore.upf.edu//2357516_811425_singleton_obj.png - bangkok: ['mirror', 'bangkok']""]",3
3R0T90IZ1SCE5PF1BH86YXMBWQRGCM,0.6891891891891891,1.351351351351351,0.8333333333333334,0.6842105263157895,A2FV2CDX9IG91V,approve,,True,False,"['http://object-naming-amore.upf.edu//2398331_426314_singleton_obj.png - cookie: visual', ""http://object-naming-amore.upf.edu//2343655_921276_supercat_ambiguous.png - woman: ['man', 'woman']""]",2
3R3YRB5GRF39HSJYB81WWHXE6X4UAM,0.7837837837837838,0.2702702702702703,0.9285714285714286,0.5,A1VIY1ZWBO3NVL,approve,,True,False,['http://object-naming-amore.upf.edu//2366484_1907330_singleton_obj.png - sheep: visual'],1
3TPWUS5F891A2B51QMCOK08ZQFIWC4,0.5405405405405406,0.8108108108108109,0.9333333333333332,0.7894736842105263,A2FV2CDX9IG91V,approve,,True,False,['http://object-naming-amore.upf.edu//2357048_2842892_singleton_obj.png - cow: visual'],1
3VD82FOHKQO2X2WZZ0LE36VDOJYOCC,0.7432432432432432,1.5675675675675675,0.9285714285714286,0.6111111111111112,A2BRZKFG6WAVER,approve,,True,False,['http://object-naming-amore.upf.edu//2390562_3827922_singleton_obj.png - airplnae: 1.0'],1
3VHHR074H3HOF0Y6VRXBV3Z5S45L74,0.7702702702702703,0.8108108108108109,1.0,0.8421052631578947,ASTY1XNJS7RSV,approve,bonus,True,True,[],0
3VNXK88KKCIVPOYTOSX1W8ODDK9V96,0.6081081081081081,0.4324324324324325,1.0,0.9411764705882352,A2FV2CDX9IG91V,approve,bonus,True,True,[],0
3VNXK88KKCIVPOYTOSX1W8ODEOG9V0,0.5277777777777778,2.7777777777777777,1.0,0.8095238095238095,A1B68E1R8PO9SS,approve,bonus,True,True,[],0
3YDGXNSEOZUWH6W4Z4Q0NMTPHXP48G,0.6621621621621622,1.6756756756756757,1.0,0.8421052631578947,A2TR2EBULKKPB4,approve,bonus,True,True,[],0
3ZAZR5XV01IEW6A619WVJ42H7HLCZ9,0.7702702702702703,0.5135135135135135,0.9285714285714286,0.5,A1XAFKGJBBH6S5,approve,,True,False,['http://object-naming-amore.upf.edu//2397028_1193404_supercat_ambiguous.png - piza: 1.0'],1
